timestamp,symbol,bid,ask,bid_qty,ask_qty
1781169402325,XRPUSDT,1.1161,1.1162,37601.6,21492.4
1781169402328,XRPUSDT,1.1161,1.1162,37616.1,21492.4
1781169402393,XRPUSDT,1.1161,1.1162,37508.4,21492.4
1781169402394,XRPUSDT,1.1161,1.1162,37513.4,21492.4
1781169402472,XRPUSDT,1.1161,1.1162,37521.9,21492.4
1781169402601,XRPUSDT,1.1161,1.1162,37521.9,21271.9
1781169402732,XRPUSDT,1.1161,1.1162,37521.9,18483.7
1781169402772,XRPUSDT,1.1161,1.1162,40615.2,18483.7
1781169402773,XRPUSDT,1.1161,1.1162,40610.7,18483.7
1781169402774,XRPUSDT,1.1161,1.1162,40611.3,18483.7
1781169403000,XRPUSDT,1.1161,1.1162,40343.8,18483.7
1781169403038,XRPUSDT,1.1161,1.1162,40343.8,18499.0
1781169403039,XRPUSDT,1.1161,1.1162,40348.3,18499.0
1781169403071,XRPUSDT,1.1161,1.1162,40154.3,18499.0
1781169403116,XRPUSDT,1.1161,1.1162,40145.4,18499.0
1781169403271,XRPUSDT,1.1161,1.1162,40145.4,18305.0
1781169403329,XRPUSDT,1.1161,1.1162,40130.9,18305.0
1781169403330,XRPUSDT,1.1161,1.1162,40630.9,18305.0
1781169403332,XRPUSDT,1.1161,1.1162,40644.5,18305.0
1781169403442,XRPUSDT,1.1161,1.1162,40688.6,18305.0
1781169403511,XRPUSDT,1.1161,1.1162,41255.9,18305.0
1781169403511,XRPUSDT,1.1161,1.1162,41251.4,18305.0
1781169403554,XRPUSDT,1.1161,1.1162,41251.4,13533.4
1781169403554,XRPUSDT,1.1161,1.1162,41251.4,13619.5
1781169403555,XRPUSDT,1.1161,1.1162,41251.4,11332.7
1781169403555,XRPUSDT,1.1161,1.1162,41255.9,11332.7
1781169403555,XRPUSDT,1.1161,1.1162,41255.9,11328.2
1781169403555,XRPUSDT,1.1161,1.1162,42255.9,11328.2
1781169403556,XRPUSDT,1.1161,1.1162,45094.5,11328.2
1781169403557,XRPUSDT,1.1162,1.1163,698.0,36604.8
1781169403558,XRPUSDT,1.1162,1.1163,1114.8,36604.8
1781169403558,XRPUSDT,1.1162,1.1163,2782.0,36604.8
1781169403558,XRPUSDT,1.1162,1.1163,2782.0,30604.8
1781169403558,XRPUSDT,1.1162,1.1163,5191.8,30604.8
1781169403558,XRPUSDT,1.1162,1.1163,5922.8,30604.8
1781169403559,XRPUSDT,1.1162,1.1163,6629.7,30604.8
1781169403559,XRPUSDT,1.1162,1.1163,6629.7,27453.8
1781169403559,XRPUSDT,1.1162,1.1163,7351.7,27453.8
1781169403559,XRPUSDT,1.1162,1.1163,8042.9,27453.8
1781169403560,XRPUSDT,1.1162,1.1163,8702.4,27453.8
1781169403560,XRPUSDT,1.1162,1.1163,9374.4,27453.8
1781169403561,XRPUSDT,1.1162,1.1163,9374.4,18510.4
1781169403561,XRPUSDT,1.1162,1.1163,9374.4,18364.4
1781169403561,XRPUSDT,1.1162,1.1163,10098.9,18364.4
1781169403561,XRPUSDT,1.1162,1.1163,10368.4,18364.4
1781169403562,XRPUSDT,1.1162,1.1163,12189.5,18364.4
1781169403562,XRPUSDT,1.1162,1.1163,12189.5,16194.9
1781169403562,XRPUSDT,1.1162,1.1163,14476.3,16194.9
1781169403562,XRPUSDT,1.1162,1.1163,14476.3,16180.1
1781169403562,XRPUSDT,1.1162,1.1163,15386.9,16180.1
1781169403562,XRPUSDT,1.1162,1.1163,17564.5,16180.1
1781169403563,XRPUSDT,1.1162,1.1163,17564.5,16165.3
1781169403563,XRPUSDT,1.1162,1.1163,19974.3,16165.3
1781169403563,XRPUSDT,1.1162,1.1163,19974.3,13878.5
1781169403563,XRPUSDT,1.1162,1.1163,19974.3,13863.7
1781169403563,XRPUSDT,1.1162,1.1163,19974.3,5001.4
1781169403563,XRPUSDT,1.1162,1.1163,19974.3,4996.8
1781169403564,XRPUSDT,1.1162,1.1163,19974.3,4992.3
1781169403566,XRPUSDT,1.1162,1.1163,43470.1,4992.3
1781169403566,XRPUSDT,1.1162,1.1163,43470.1,4977.5
1781169403568,XRPUSDT,1.1162,1.1163,43470.1,4971.2
1781169403568,XRPUSDT,1.1162,1.1163,45970.1,4971.2
1781169403568,XRPUSDT,1.1162,1.1163,45970.1,4956.4
1781169403568,XRPUSDT,1.1162,1.1163,51454.9,4956.4
1781169403569,XRPUSDT,1.1162,1.1163,53691.6,4956.4
1781169403569,XRPUSDT,1.1162,1.1163,54291.6,4956.4
1781169403569,XRPUSDT,1.1162,1.1163,54291.6,4941.6
1781169403569,XRPUSDT,1.1162,1.1163,54291.6,4926.8
1781169403569,XRPUSDT,1.1162,1.1163,57384.9,4926.8
1781169403569,XRPUSDT,1.1162,1.1163,57832.7,4926.8
1781169403570,XRPUSDT,1.1162,1.1163,57832.7,4922.2
1781169403571,XRPUSDT,1.1162,1.1163,57384.9,4922.2
1781169403571,XRPUSDT,1.1162,1.1163,61159.6,4922.2
1781169403571,XRPUSDT,1.1162,1.1163,61247.3,4922.2
1781169403571,XRPUSDT,1.1162,1.1163,58747.3,4922.2
1781169403571,XRPUSDT,1.1162,1.1163,58747.3,4917.6
1781169403572,XRPUSDT,1.1162,1.1163,60191.4,4917.6
1781169403572,XRPUSDT,1.1162,1.1163,60195.9,4917.6
1781169403572,XRPUSDT,1.1162,1.1163,65195.9,4917.6
1781169403572,XRPUSDT,1.1162,1.1163,66195.9,4917.6
1781169403572,XRPUSDT,1.1162,1.1163,69346.9,4917.6
1781169403573,XRPUSDT,1.1162,1.1163,69351.9,4917.6
1781169403573,XRPUSDT,1.1162,1.1163,69356.5,4917.6
1781169403573,XRPUSDT,1.1162,1.1163,69856.5,4917.6
1781169403573,XRPUSDT,1.1162,1.1163,67619.8,4917.6
1781169403573,XRPUSDT,1.1162,1.1163,65210.0,4917.6
1781169403574,XRPUSDT,1.1162,1.1163,59725.2,4917.6
1781169403574,XRPUSDT,1.1162,1.1163,64243.2,4917.6
1781169403574,XRPUSDT,1.1162,1.1163,64243.2,5045.8
1781169403574,XRPUSDT,1.1162,1.1163,73105.5,5045.8
1781169403575,XRPUSDT,1.1162,1.1163,73114.1,5045.8
1781169403575,XRPUSDT,1.1162,1.1163,73267.7,5045.8
1781169403575,XRPUSDT,1.1162,1.1163,73267.7,5041.3
1781169403575,XRPUSDT,1.1162,1.1163,73267.7,5033.1
1781169403575,XRPUSDT,1.1162,1.1163,73267.7,4904.9
1781169403576,XRPUSDT,1.1162,1.1163,73267.7,5800.7
1781169403576,XRPUSDT,1.1162,1.1163,74267.7,5800.7
1781169403577,XRPUSDT,1.1162,1.1163,69749.7,5800.7
1781169403577,XRPUSDT,1.1162,1.1163,69843.9,5800.7
1781169403577,XRPUSDT,1.1162,1.1163,70074.1,5800.7
1781169403579,XRPUSDT,1.1162,1.1163,70296.3,5800.7
1781169403579,XRPUSDT,1.1162,1.1163,70296.3,5796.2
1781169403579,XRPUSDT,1.1163,1.1164,12031.4,38399.7
1781169403579,XRPUSDT,1.1163,1.1164,12448.2,38399.7
1781169403579,XRPUSDT,1.1163,1.1164,14115.4,38399.7
1781169403579,XRPUSDT,1.1163,1.1164,14807.4,38399.7
1781169403580,XRPUSDT,1.1163,1.1164,15461.6,38399.7
1781169403580,XRPUSDT,1.1163,1.1164,15731.1,38399.7
1781169403580,XRPUSDT,1.1163,1.1164,16508.7,38399.7
1781169403580,XRPUSDT,1.1163,1.1164,16778.2,38399.7
1781169403580,XRPUSDT,1.1163,1.1164,17233.5,38399.7
1781169403581,XRPUSDT,1.1163,1.1164,19054.6,38399.7
1781169403581,XRPUSDT,1.1163,1.1164,19054.6,34139.3
1781169403581,XRPUSDT,1.1163,1.1164,20811.0,34139.3
1781169403581,XRPUSDT,1.1163,1.1164,20811.0,34133.2
1781169403581,XRPUSDT,1.1163,1.1164,20811.0,22972.3
1781169403581,XRPUSDT,1.1163,1.1164,20811.0,22957.5
1781169403582,XRPUSDT,1.1163,1.1164,20811.0,22942.7
1781169403582,XRPUSDT,1.1163,1.1164,20811.0,22927.9
1781169403582,XRPUSDT,1.1163,1.1164,20811.0,22921.0
1781169403582,XRPUSDT,1.1163,1.1164,22411.0,22921.0
1781169403582,XRPUSDT,1.1163,1.1164,22400.5,22921.0
1781169403583,XRPUSDT,1.1163,1.1164,23000.5,22921.0
1781169403583,XRPUSDT,1.1163,1.1164,25410.1,22921.0
1781169403583,XRPUSDT,1.1163,1.1164,29184.8,22921.0
1781169403583,XRPUSDT,1.1163,1.1164,29265.4,22921.0
1781169403583,XRPUSDT,1.1163,1.1164,29540.9,22921.0
1781169403584,XRPUSDT,1.1163,1.1164,29540.9,22906.2
1781169403584,XRPUSDT,1.1163,1.1164,29540.9,22901.6
1781169403584,XRPUSDT,1.1163,1.1164,29540.9,22907.0
1781169403584,XRPUSDT,1.1163,1.1164,31827.7,22907.0
1781169403584,XRPUSDT,1.1163,1.1164,31827.7,20620.2
1781169403585,XRPUSDT,1.1163,1.1164,36827.7,20620.2
